Inhabitants,Distance,Length
30.0,380.0,"[813.4000000000001, 1262.8000000000002]"
141.0,966.669983,"[2471.6000000000004, 7675.0]"
63.0,830.0,"[2471.6000000000004, 7675.0]"
55.0,1006.669983,"[2471.6000000000004, 7675.0]"
200.0,506.670013,"[2471.6000000000004, 7675.0]"
60.0,755.0,"[1721.1999999999998, 2471.6000000000004]"
74.0,613.330017,"[1262.8000000000002, 1721.1999999999998]"
22.0,433.329987,"[1262.8000000000002, 1721.1999999999998]"
108.0,611.669983,"[2471.6000000000004, 7675.0]"
19.0,363.329987,"[813.4000000000001, 1262.8000000000002]"
10.0,473.329987,"[813.4000000000001, 1262.8000000000002]"
45.0,453.329987,"[1262.8000000000002, 1721.1999999999998]"
55.0,830.0,"[2471.6000000000004, 7675.0]"
46.0,663.330017,"[1721.1999999999998, 2471.6000000000004]"
39.0,500.0,"[813.4000000000001, 1262.8000000000002]"
13.0,763.330017,"[1721.1999999999998, 2471.6000000000004]"
70.0,423.329987,"[2471.6000000000004, 7675.0]"
18.0,593.330017,"[1721.1999999999998, 2471.6000000000004]"
36.0,573.330017,"[1721.1999999999998, 2471.6000000000004]"
23.0,473.329987,"[813.4000000000001, 1262.8000000000002]"
22.0,923.330017,"[1721.1999999999998, 2471.6000000000004]"
12.0,306.670013,"[813.4000000000001, 1262.8000000000002]"
